rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Passes completados_man;Passes completados_vis;Acerto de passes_man;Acerto de passes_vis
Final;Kiel;Köln;1;5;58%;42%;10;19;3;11;7;8;23;11;2;8;1;2;20;29;6;2;8;17;1;4;457;277;100;115;34;48;;;;;;;;
Final;Köln;Kiel;0;1;53%;47%;15;9;3;3;12;6;29;28;9;5;2;0;26;17;2;3;21;20;4;3;445;338;126;65;65;31;;;;;;;;
34;Bayern;Augsburg;5;2;67%;33%;24;8;13;4;11;4;11;6;10;2;1;2;17;12;2;8;6;9;1;1;625;262;154;74;77;21;;;;;;;;
34;Bremen;Monchengladbach;2;4;49%;51%;16;15;8;8;8;7;14;18;2;5;2;4;11;21;4;6;19;12;1;2;480;572;93;112;47;33;;;;;;;;
34;Dortmund;Leverkusen;3;1;54%;46%;9;16;3;7;6;9;9;6;3;6;1;1;20;14;6;0;6;8;;;587;510;104;115;34;62;;;;;;;;
34;Frankfurt;Freiburg;3;1;54%;46%;18;11;11;6;7;5;11;8;8;1;1;1;15;11;5;8;7;10;1;0;495;473;125;118;53;39;;;;;;;;
34;Hoffenheim;Hertha;2;1;61%;39%;21;9;5;5;16;4;7;10;4;3;1;2;22;20;4;3;8;5;;;581;432;133;80;72;30;;;;;;;;
34;Köln;Schalke;1;0;59%;41%;20;7;10;1;10;6;12;16;8;4;3;0;26;29;1;9;14;12;1;2;479;242;133;87;67;26;;;;;;;;
34;Stuttgart;Bielefeld;0;2;65%;35%;11;11;0;3;11;8;10;14;3;6;2;0;19;12;1;0;12;11;1;0;715;244;139;77;49;37;;;;;;;;
34;Union Berlin;RB Leipzig;2;1;40%;60%;10;18;4;7;6;11;15;17;7;3;3;5;24;19;6;2;15;10;2;1;327;562;110;108;32;46;;;;;;;;
34;Wolfsburg;Mainz;2;3;61%;39%;16;14;5;8;11;6;20;13;7;7;1;1;21;26;5;3;12;19;3;3;513;304;129;72;54;34;;;;;;;;
33;RB Leipzig;Wolfsburg;2;2;59%;41%;14;12;4;4;10;8;16;14;11;3;0;2;33;23;2;2;13;15;3;3;497;250;116;97;51;15;;;;;;;;
33;Mainz;Dortmund;1;3;36%;64%;9;13;5;4;4;9;9;11;4;2;1;0;12;21;1;4;9;11;;;336;671;68;166;34;40;;;;;;;;
33;Augsburg;Bremen;2;0;38%;62%;15;16;7;5;8;11;20;16;5;5;2;4;20;16;5;5;13;17;3;3;197;471;84;122;26;59;1;1;;;;;;
33;Bielefeld;Hoffenheim;1;1;41%;59%;17;7;6;3;11;4;8;6;10;4;1;0;29;23;2;5;5;8;1;2;336;543;110;122;45;60;;;;;;;;
33;Freiburg;Bayern;2;2;42%;58%;13;16;4;6;9;10;14;13;4;8;5;2;13;19;4;2;10;13;1;2;369;589;76;116;32;54;;;;;;;;
33;Hertha;Köln;0;0;45%;55%;1;11;1;3;0;8;13;13;1;5;1;0;23;24;3;1;11;12;2;2;317;424;91;116;19;61;;;;;;;;
33;Leverkusen;Union Berlin;1;1;50%;50%;9;15;4;6;5;9;18;10;4;5;1;2;13;17;5;3;9;16;2;2;535;536;106;115;27;54;;;;;;;;
33;Monchengladbach;Stuttgart;1;2;52%;48%;9;11;4;7;5;4;16;16;2;1;2;2;26;16;5;3;14;14;2;4;534;552;102;125;51;39;;;;;;;;
33;Schalke;Frankfurt;4;3;41%;59%;11;24;6;9;5;15;15;12;1;13;3;5;15;23;6;2;9;11;0;2;338;573;62;185;14;89;;;;;;;;
31;Schalke;Hertha;1;2;49%;51%;12;18;1;6;11;12;18;9;1;7;0;7;10;26;4;0;9;11;3;5;430;496;104;112;27;46;0;1;;;;;;
32;Hertha;Bielefeld;0;0;62%;38%;11;12;4;5;7;7;10;14;4;3;1;0;29;17;5;4;13;9;3;4;528;285;103;104;47;29;;;;;;;;
32;Frankfurt;Mainz;1;1;68%;32%;14;6;4;3;10;3;17;12;8;2;2;3;27;19;2;3;10;14;2;0;668;234;162;73;55;23;;;;;;;;
32;Köln;Freiburg;1;4;54%;46%;18;11;2;6;16;5;17;16;3;2;1;2;19;23;2;1;15;16;2;2;375;293;92;97;32;24;;;;;;;;
32;Bayern;Monchengladbach;6;0;59%;41%;22;14;7;2;15;12;8;8;5;3;3;0;14;18;2;1;3;9;0;2;647;470;125;100;56;34;1;0;;;;;;
32;Bremen;Leverkusen;0;0;42%;58%;13;14;2;4;11;10;18;12;4;6;4;2;12;15;4;2;9;14;3;2;318;567;109;134;40;55;1;0;;;;;;
32;Dortmund;RB Leipzig;3;2;48%;52%;15;14;4;7;11;7;14;12;7;7;4;1;18;19;5;1;8;13;1;1;413;533;83;120;40;60;;;;;;;;
32;Hoffenheim;Schalke;4;2;60%;40%;20;6;12;3;8;3;12;14;9;3;3;1;13;17;1;8;11;12;1;2;558;341;146;53;70;23;;;;;;;;
32;Wolfsburg;Union Berlin;3;0;60%;40%;17;9;8;1;9;8;10;10;4;3;1;1;23;22;1;5;9;9;1;0;539;344;112;71;23;33;;;;;;;;
32;Stuttgart;Augsburg;2;1;58%;42%;14;20;6;9;8;11;15;14;2;12;0;3;26;21;8;4;14;12;;;520;351;119;113;38;60;;;;;;;;
30;Hertha;Freiburg;3;0;41%;59%;13;15;6;4;7;11;17;11;4;6;2;2;15;25;4;3;10;13;4;3;350;557;61;115;30;45;;;;;;;;
29;Mainz;Hertha;1;1;59%;41%;16;7;9;5;7;2;14;20;6;4;2;1;31;22;4;8;18;13;2;3;461;332;118;84;51;21;;;;;;;;
31;Monchengladbach;Bielefeld;5;0;59%;41%;20;10;12;5;8;5;7;12;4;1;1;0;15;27;5;7;11;8;1;1;618;356;102;93;42;23;;;;;;;;
31;RB Leipzig;Stuttgart;2;0;62%;38%;24;2;11;0;13;2;8;21;10;1;2;1;19;20;0;9;19;8;2;0;667;344;166;60;96;10;0;1;;;;;;
31;Leverkusen;Frankfurt;3;1;50%;50%;18;12;10;4;8;8;8;9;5;6;1;0;15;17;3;7;9;8;1;1;524;504;116;118;59;44;;;;;;;;
31;Freiburg;Hoffenheim;1;1;47%;53%;15;16;7;4;8;12;12;14;6;5;2;2;17;17;3;6;10;12;1;2;418;450;116;91;39;33;;;;;;;;
