rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis;Passes completados_man;Passes completados_vis;Laterais cobrados_man;Laterais cobrados_vis
38;Athletico-PR;Sport;2;0;56%;44%;18;15;8;4;8;6;2;5;12;17;8;5;2;2;4;6;15;10;0;1;481;364;16;8;99;95;67;69;;;;;;;;
38;Atlético-GO;Coritiba;3;1;55%;45%;18;9;7;1;8;8;3;0;11;9;7;4;1;1;0;4;8;9;0;1;555;435;13;16;121;99;95;69;;;;;;;;
38;Atlético-MG;Palmeiras;2;0;52%;48%;19;9;8;4;7;4;4;1;19;29;5;4;5;1;4;6;22;17;3;0;452;425;9;12;85;83;67;45;;;;;;;;
38;Bahia;Santos;2;0;49%;51%;16;15;5;5;8;6;3;4;14;13;4;4;2;1;5;3;11;13;;;447;476;17;18;104;107;70;73;;;;;;;;
38;Ceará;Botafogo;2;1;48%;52%;12;17;6;3;5;8;1;6;6;6;5;7;0;2;2;4;7;4;4;0;470;503;13;9;70;92;42;59;1;0;;;;;;
38;Fluminense;Fortaleza;2;0;48%;52%;9;9;3;2;2;7;4;0;14;10;3;5;0;1;2;1;10;12;;;396;418;22;8;88;103;39;67;;;;;;;;
38;Internacional;Corinthians;0;0;53%;47%;16;6;5;1;6;2;5;3;17;19;12;5;6;1;1;5;13;16;0;2;420;391;21;22;122;107;90;71;;;;;;;;
38;Red Bull Bragantino;Grêmio;1;0;55%;45%;19;15;6;2;7;12;6;1;11;25;3;7;1;0;2;5;24;12;4;0;469;369;13;11;81;91;76;70;;;;;;;;
38;São Paulo;Flamengo;2;1;36%;64%;4;19;2;1;1;13;1;5;27;27;1;7;0;2;0;0;27;24;6;3;301;507;8;17;82;150;28;93;;;;;;;;
38;Vasco;Goiás;3;2;48%;52%;27;20;12;5;6;7;9;8;20;14;9;6;2;2;3;9;12;18;1;2;387;407;18;11;56;58;37;39;;;;;;;;
37;Botafogo;São Paulo;1;0;51%;49%;23;8;11;1;4;6;8;1;15;13;4;3;2;0;1;10;12;15;3;5;433;457;7;3;31;43;51;41;0;1;;;;;;
37;Palmeiras;Atlético-GO;1;1;64%;36%;19;9;4;3;11;5;4;1;13;19;9;6;0;1;2;3;20;13;2;1;544;310;10;9;153;55;72;36;;;;;;;;
37;Goiás;Red Bull Bragantino;0;0;43%;57%;14;14;1;5;8;4;5;5;20;19;3;11;1;1;5;1;18;20;2;0;315;406;17;15;104;113;35;67;;;;;;;;
37;Grêmio;Athletico-PR;1;0;50%;50%;11;8;2;2;7;5;2;1;21;21;2;2;1;4;2;1;19;17;3;1;460;466;9;13;127;106;41;35;0;2;;;;;;
37;Santos;Fluminense;1;1;62%;38%;8;7;2;3;5;3;1;1;19;21;3;4;1;1;2;1;20;19;3;4;450;280;25;23;107;97;60;37;0;1;;;;;;
37;Corinthians;Vasco;0;0;67%;33%;14;8;4;0;3;6;7;2;25;22;7;4;1;6;0;4;23;18;1;2;585;283;15;19;157;88;76;38;;;;;;;;
37;Flamengo;Internacional;2;1;59%;41%;10;12;4;3;3;4;3;5;13;23;1;4;3;0;2;2;21;14;4;0;447;302;19;23;139;85;50;23;0;1;;;;;;
37;Sport;Atlético-MG;2;3;39%;61%;9;25;3;10;3;12;3;3;12;13;2;4;0;0;7;1;16;13;4;4;372;586;5;13;100;128;30;63;;;;;;;;
37;Fortaleza;Bahia;0;4;61%;39%;11;12;3;7;5;5;3;0;3;7;2;0;0;1;3;3;15;13;5;3;547;357;5;11;142;80;63;20;1;0;;;;;;
37;Coritiba;Ceará;0;2;63%;37%;16;11;5;4;8;5;3;2;10;15;7;5;2;1;2;5;14;9;1;0;568;337;11;15;141;81;81;32;;;;;;;;
34;São Paulo;Palmeiras;1;1;42%;58%;7;8;3;2;2;5;2;1;16;19;1;5;3;3;1;2;16;14;2;1;317;436;8;17;102;84;42;45;;;;;;;;
35;Coritiba;Palmeiras;1;0;47%;53%;13;15;4;4;6;8;3;3;23;17;5;4;1;3;4;3;16;20;2;3;384;435;11;12;99;100;28;26;0;1;;;;;;
33;Santos;Corinthians;1;0;46%;54%;11;11;5;4;2;4;4;3;25;26;6;5;2;2;4;4;24;25;;;367;419;15;14;88;116;35;43;;;;;;;;
36;Sport;Red Bull Bragantino;0;0;31%;69%;4;22;0;6;3;10;1;6;11;7;1;15;0;1;6;0;8;10;3;0;271;579;13;17;75;164;25;75;;;;;;;;
36;Ceará;Fluminense;1;3;52%;48%;13;9;5;4;6;3;2;2;7;18;9;0;0;0;1;4;18;8;1;1;434;429;12;19;105;102;71;41;;;;;;;;
36;Grêmio;São Paulo;1;2;51%;49%;5;11;3;4;1;6;1;1;18;19;5;2;0;0;2;2;19;18;6;4;523;492;10;15;100;110;39;58;1;0;;;;;;
36;Athletico-PR;Atlético-GO;2;1;60%;40%;8;11;3;4;5;6;0;1;12;18;7;4;4;3;3;1;14;9;3;1;454;306;8;19;116;83;60;34;;;;;;;;
36;Palmeiras;Fortaleza;3;0;68%;32%;13;5;6;1;4;2;3;2;11;20;3;4;4;0;1;3;16;11;0;3;610;284;14;12;137;85;30;35;;;;;;;;
36;Flamengo;Corinthians;2;1;66%;34%;14;11;5;3;8;1;1;7;17;25;4;3;4;1;2;3;21;16;1;5;594;305;15;17;155;84;82;24;;;;;;;;
36;Vasco;Internacional;0;2;64%;36%;8;16;0;7;5;5;3;4;20;11;3;9;2;0;5;0;9;20;1;6;459;256;10;10;135;82;60;44;;;;;;;;
36;Atlético-MG;Bahia;1;1;71%;29%;21;13;4;5;6;4;11;4;10;12;6;2;1;1;4;3;10;9;1;1;741;301;14;11;196;56;105;29;;;;;;;;
36;Santos;Coritiba;2;0;57%;43%;17;8;6;3;8;4;3;1;17;18;7;3;3;1;3;4;15;16;0;4;475;364;10;13;106;80;55;21;;;;;;;;
36;Goiás;Botafogo;2;0;54%;46%;11;11;7;3;3;6;1;2;28;25;2;5;2;2;3;5;22;26;4;3;416;347;19;13;88;105;37;43;0;1;;;;;;
35;Corinthians;Athletico-PR;3;3;44%;56%;18;12;8;7;6;3;4;2;12;20;3;2;0;0;4;5;19;12;3;0;419;529;12;16;106;102;44;29;;;;;;;;
35;Fluminense;Atlético-MG;0;0;27%;73%;10;8;3;1;4;4;3;3;14;11;6;6;3;1;1;3;8;13;0;1;308;836;18;16;82;159;50;56;;;;;;;;
35;São Paulo;Ceará;1;1;60%;40%;16;8;9;2;5;4;2;2;20;13;6;4;2;2;1;8;10;17;4;4;494;326;9;13;101;83;49;31;;;;;;;;
35;Fortaleza;Vasco;3;0;43%;57%;17;12;7;1;5;5;5;6;15;16;5;7;1;1;1;4;15;14;2;4;388;487;18;6;97;122;37;32;;;;;;;;
35;Internacional;Sport;1;2;58%;42%;19;8;4;2;8;4;7;2;12;12;7;3;0;1;0;3;12;11;2;3;530;376;9;13;138;83;56;30;1;0;;;;;;
35;Botafogo;Grêmio;2;5;47%;53%;18;13;6;7;10;3;2;3;19;14;5;2;1;1;2;4;14;18;;;408;467;12;17;113;100;41;46;;;;;;;;
35;Red Bull Bragantino;Flamengo;1;1;47%;53%;12;15;5;7;7;4;0;4;20;20;5;4;1;4;6;4;20;16;4;1;362;420;13;25;102;109;37;58;;;;;;;;
35;Atlético-GO;Santos;1;1;30%;70%;8;18;3;3;5;11;0;4;16;18;0;10;1;4;2;2;18;13;2;2;235;494;13;10;69;126;20;87;1;0;;;;;;
35;Bahia;Goiás;3;3;47%;53%;9;17;7;6;1;8;1;3;15;18;8;1;1;1;3;4;18;13;3;4;379;421;17;18;32;32;9;12;1;0;;;;;;
34;Botafogo;Sport;0;1;66%;34%;25;10;6;2;10;3;9;5;19;13;10;8;3;0;1;6;11;19;1;3;542;282;24;18;170;65;66;37;;;;;;;;
34;Athletico-PR;Internacional;0;0;69%;31%;12;5;4;1;8;3;0;1;22;17;3;2;2;1;1;4;15;20;3;2;586;259;14;12;124;88;42;32;;;;;;;;
34;Flamengo;Vasco;2;0;60%;40%;17;6;6;3;4;2;7;1;15;19;7;5;0;1;3;4;19;15;1;3;527;347;28;18;145;76;57;28;;;;;;;;
34;Fortaleza;Coritiba;3;1;53%;47%;16;5;7;2;6;3;3;0;17;18;4;4;0;3;1;4;18;15;2;7;402;345;10;11;97;71;22;26;0;2;;;;;;
34;Bahia;Fluminense;0;1;54%;46%;12;13;6;6;3;6;3;1;13;15;4;1;0;2;5;6;15;11;1;1;520;432;19;26;142;119;53;32;;;;;;;;
34;Corinthians;Ceará;2;1;35%;65%;18;7;7;1;6;4;5;2;15;21;8;3;2;2;0;5;18;14;;;302;559;15;16;106;135;41;45;;;;;;;;
34;Goiás;Atlético-MG;1;0;23%;77%;3;19;1;2;1;12;1;5;17;15;1;8;2;4;2;0;13;13;3;3;241;818;15;14;57;174;17;101;;;;;;;;
34;Red Bull Bragantino;Atlético-GO;2;0;52%;48%;20;8;10;1;5;7;5;0;8;17;8;3;2;1;1;8;15;7;3;3;414;390;24;12;126;100;64;45;;;;;;;;
34;Grêmio;Santos;3;3;63%;37%;17;9;6;5;9;0;2;4;19;11;5;3;1;0;2;3;12;20;5;3;538;313;5;12;148;68;42;32;0;1;;;;;;
