rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis
38;América-MG;São Paulo;2;0;45%;55%;19;11;4;2;10;5;5;4;18;21;5;5;2;1;25;22;2;2;18;17;2;2;382;464;24;21;103;103;51;47;;
38;Atlético-GO;Flamengo;2;0;51%;49%;13;12;3;6;5;3;5;3;7;16;4;6;1;0;18;10;6;1;15;7;4;2;466;442;16;18;110;79;62;49;;
38;Fluminense;Chapecoense;3;0;68%;32%;22;3;8;0;9;2;5;1;12;12;9;3;1;2;19;15;0;5;12;10;3;2;541;260;16;14;115;64;55;24;;
38;Fortaleza;Bahia;2;1;52%;48%;14;9;6;6;5;3;3;0;17;17;6;3;3;1;23;23;5;4;15;17;4;2;338;314;12;11;117;98;46;53;;
38;Grêmio;Atlético-MG;4;3;38%;62%;7;13;4;7;2;2;1;4;9;15;3;9;1;0;11;15;4;0;15;11;3;1;329;545;15;18;76;93;36;40;;
38;Juventude;Corinthians;1;0;45%;55%;17;1;6;1;7;0;4;0;20;10;11;4;0;0;27;27;1;5;10;22;1;2;408;513;26;12;112;97;51;37;0;1
38;Palmeiras;Ceará;1;0;32%;68%;12;30;2;8;7;13;3;9;4;20;5;8;2;0;26;31;8;1;18;4;2;0;288;613;13;13;70;159;44;80;;
38;Red Bull Bragantino;Internacional;1;0;44%;56%;23;4;4;1;14;1;5;2;25;22;4;2;3;0;19;18;1;3;23;26;4;5;371;475;16;15;139;104;41;35;;
38;Santos;Cuiabá;1;1;61%;39%;13;8;5;3;4;2;4;3;16;17;6;4;0;1;30;19;2;4;17;15;1;2;510;321;21;29;122;125;52;40;;
38;Sport;Athletico-PR;1;1;62%;38%;18;7;6;4;8;1;4;2;14;20;6;4;1;0;16;20;3;5;17;14;1;1;569;336;13;11;130;75;54;23;;
37;Chapecoense;Sport;0;1;30%;70%;14;25;6;4;5;14;3;7;27;16;6;3;0;0;16;14;3;6;16;27;3;4;213;526;19;18;87;114;29;52;1;0
37;Cuiabá;Fortaleza;1;0;36%;64%;8;13;1;3;6;8;1;2;21;26;1;2;4;1;16;26;3;0;22;23;1;3;279;488;12;8;90;122;24;44;;
37;Flamengo;Santos;0;1;64%;36%;9;9;4;4;2;4;3;1;17;26;5;1;3;4;20;16;3;4;23;14;3;3;483;279;10;11;97;68;74;37;;
37;Internacional;Atlético-GO;1;2;60%;40%;22;11;6;4;10;5;6;2;9;16;11;3;3;0;14;9;2;5;14;9;3;2;534;365;20;18;152;81;84;29;;
37;Athletico-PR;Palmeiras;0;0;71%;29%;22;4;4;0;10;2;8;2;10;15;8;1;4;0;26;19;0;4;11;10;1;1;601;249;9;16;137;97;50;16;;
37;São Paulo;Juventude;3;1;53%;47%;13;9;6;3;6;4;1;2;14;25;7;6;0;1;22;15;2;3;25;13;5;3;357;289;9;16;106;83;33;39;;
37;Ceará;América-MG;0;0;53%;47%;15;18;3;1;9;10;3;7;15;17;7;3;3;2;29;26;1;3;14;13;0;2;356;327;18;6;102;123;44;40;;
37;Atlético-MG;Red Bull Bragantino;4;3;61%;39%;13;18;6;11;4;5;3;2;10;6;5;3;1;0;18;9;8;2;5;10;1;2;579;361;18;20;99;106;40;37;;
37;Bahia;Fluminense;2;0;37%;63%;14;9;6;1;5;5;3;3;20;13;11;3;0;1;11;19;1;4;13;20;2;5;283;509;12;7;70;102;43;30;1;1
37;Corinthians;Grêmio;1;1;71%;29%;11;12;3;3;4;6;4;3;22;10;2;5;3;0;13;17;2;2;7;22;1;3;633;250;15;16;117;81;49;64;;
36;Fortaleza;Juventude;1;0;53%;47%;15;11;4;3;6;6;5;2;19;31;5;4;2;0;15;14;3;3;20;14;2;0;412;362;13;15;108;91;54;33;;
36;Chapecoense;Atlético-GO;0;1;43%;57%;8;9;0;1;4;4;4;4;18;17;3;4;3;0;26;11;0;0;17;17;2;3;355;479;15;17;90;86;54;56;;
35;Sport;Flamengo;1;1;48%;52%;15;22;9;7;4;10;2;5;17;18;6;6;0;0;8;11;6;8;13;11;2;3;399;423;15;18;76;109;38;57;;
35;Athletico-PR;Cuiabá;1;0;65%;35%;19;8;3;1;12;5;4;2;15;16;8;2;1;2;24;18;1;2;15;14;4;7;503;277;7;10;125;71;57;36;0;1
35;Grêmio;São Paulo;3;0;45%;55%;17;5;8;1;6;3;3;1;14;17;6;0;0;1;21;21;1;5;17;13;3;2;396;484;13;9;117;98;89;50;;
32;Bahia;Atlético-MG;2;3;48%;52%;13;19;3;9;5;3;5;7;19;18;4;6;1;1;16;15;6;1;13;12;2;3;383;420;13;12;110;112;71;59;;
36;Cuiabá;Palmeiras;1;3;59%;41%;21;13;6;5;7;7;8;1;10;17;12;4;3;0;25;15;2;5;15;10;4;3;457;337;15;17;120;66;76;26;0;1
35;América-MG;Chapecoense;3;0;53%;47%;23;10;7;3;7;3;9;4;11;10;8;9;0;0;16;29;3;4;10;11;2;2;406;369;18;15;120;84;51;40;;
36;Flamengo;Ceará;2;1;51%;49%;15;12;5;4;6;3;4;5;22;23;8;6;3;3;15;18;3;3;20;19;6;1;429;411;19;10;116;93;54;31;;
35;Juventude;Red Bull Bragantino;1;0;46%;54%;9;13;2;0;6;8;1;5;26;20;0;4;2;2;31;21;0;1;15;25;3;3;334;378;16;18;85;123;41;42;;
35;Atlético-GO;Bahia;2;1;49%;51%;12;14;3;2;7;6;2;6;28;28;4;5;6;0;17;20;1;1;16;20;5;4;359;364;14;11;95;110;51;56;0;1
36;Internacional;Santos;1;1;53%;47%;17;13;6;5;7;5;4;3;25;26;3;5;1;1;19;13;4;5;16;17;1;2;476;412;7;21;110;106;57;30;;
